,Date,sentecne,sentiment_score,sentence,sentiment
52,rt fascinatorfun oh lord guess who s the new director of the global warm polici foundat the ever ignor allison pearson co,,0.58432984,2023-05-06 09:33:04,Positive
53,rt elonmusk cernovich global warm risk is overblown in the short term but signific in the long term,,0.5800627,2023-05-06 09:32:55,Positive
54,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5766722,2023-05-06 09:32:52,Positive
55,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5813815,2023-05-06 09:32:21,Positive
56,rt shickssam the biggest global warm scam by climat chang alarmist is say that 90 of ad back radiat caus by greenhous,,0.58406544,2023-05-06 09:31:19,Positive
57,rt jkmetto climat chang is an existenti threat to human henc the effort by kengenkenya contribut to the global effort to mov,,0.58406544,2023-05-06 09:31:19,Positive
58,rt jcs1956 fascinatorfun bernierandall8 global warm polici foundat is it a far right think tank to acceler global warm t,,0.5851202,2023-05-06 09:30:50,Positive
59,rt kosesha so heartwarm to see a cut edg global product name in tamil à®‰à®² is such a simpl catchi pertin yet regal na,,0.58931756,2023-05-06 09:30:36,Positive
60,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.57377285,2023-05-06 13:37:36,Positive
61,rt jhaspow wait so victor had a weather machin capabl of creat an ice age equival environ and he didnt think to point it,,0.5706807,2023-05-06 13:37:23,Negative
62,global warm caus the earth averag surfac temperatur to rise thi not onli increas heat wave and drought but also caus chang in our natur climat system these chang make extrem weather event more like and more sever climat httpstcofpxxmuksrh,,0.57436657,2023-05-06 13:37:13,Positive
63,jendesuk too hot you are inde the caus of global warm,,0.5684271,2023-05-06 13:36:50,Negative
64,eaglehibma pgdyne remov globalist from power wake up and realiz global warm is a scam,,0.57065433,2023-05-06 13:36:45,Negative
65,un sir let me educ your scientist who are unabl understand the whole mechan of global warm climat chang is badli destroy the planet and their remedi have no effect on crisi radhashyam muduli world citizen forum independ research bhubaneswar india,,0.5708771,2023-05-06 13:36:42,Negative
66,pamcg he right the weather is nice today so global warm isnt a short term concern,,0.5713006,2023-05-06 13:36:41,Negative
67,rt drelidavid the best clip youll see on climat chang i am a scientist and i am the founder of weather channel scienc is not abo,,0.57037336,2023-05-06 13:36:12,Negative
68,realgigij global warm just increas burn,,0.5739358,2023-05-06 13:36:04,Positive
69,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5726456,2023-05-06 13:35:44,Negative
70,rt drpatrickflynn bill gate ha resolv to block the sun to combat global warm but is the sun the enemi of life on earth no the s,,0.5759312,2023-05-06 13:35:30,Positive
71,rt climatecraz the global warm religion is so success becaus data is not a requir just a deep belief in someth is nece,,0.5755038,2023-05-06 13:35:19,Positive
72,maybeburk biminibluffc davidduwa cernovich still is cyclicalthi all ha happen befor we cant era global histori and the planet is in a cool cycl now and ha been for at least 2 decad that whi it chang from global warm to climat chang a buzzword,,0.57695353,2023-05-06 13:35:14,Positive
73,protesterlon true my issu is what they are do in the current erathey are behind global warm fear monger antimeat for the mass amp promot mandatori vax etc the queen didnt lectur peopl but be lectur to by charl about anyth is to me the height of hypocrisi,,0.5753343,2023-05-06 13:35:12,Positive
74,littl greeni of germani enjoy the global warm that you have guarante with your corrupt respons to a bloodi border issu that wa ramp up by the collect west,,0.57786024,2023-05-06 13:35:09,Positive
75,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5784306,2023-05-06 13:35:04,Positive
76,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5682329,2023-05-06 13:34:52,Negative
77,rt rifleman4wvu if we spend 50 trillion on global warm how much will it reduc the world s temperatur avoid the question http,,0.56861526,2023-05-06 13:34:22,Negative
78,bushelsperacr carolynbranno16 global warm nut,,0.56927943,2023-05-06 13:33:53,Negative
79,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5697422,2023-05-06 13:33:47,Negative
80,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.570137,2023-05-06 13:33:29,Negative
81,rt iansart now that alberta is burn is it now that daniel smith her ucp mla have their road to damascu moment and wake up to,,0.5677503,2023-05-06 13:33:28,Negative
82,rt climatecraz the global warm religion is so success becaus data is not a requir just a deep belief in someth is nece,,0.57539433,2023-05-06 13:33:15,Positive
83,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.56608796,2023-05-06 13:32:54,Negative
84,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5726501,2023-05-06 13:32:43,Negative
85,rt joshwalko kari mulli who won the 1994 nobel prize for chemistri by invent the process known a polymeras chain reaction pcr,,0.57263905,2023-05-06 13:32:31,Negative
86,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.57101065,2023-05-06 13:32:25,Negative
87,rt elonmusk cernovich global warm risk is overblown in the short term but signific in the long term,,0.5714739,2023-05-06 13:32:06,Negative
88,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5729723,2023-05-06 13:31:32,Negative
89,shamisoanitah dadyjaay we can that whi we it call global warm not zimbabw warm and the is world health org studi are done to see how the whole human popul is do and fact is a a whole human better off today than they were 100 year ago,,0.57534856,2023-05-06 13:31:11,Positive
90,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.57650596,2023-05-06 13:31:10,Positive
91,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5781105,2023-05-06 13:31:03,Positive
92,rt ingridkem thi week pascallamyppf aranchaglezlaya met hon hontuya environmentk to introduc overshootcomm which is an independ,,0.57845765,2023-05-06 13:30:25,Positive
93,isthisbicuitur no vabbÃ¨ ma sul serio fai doe anyon think global warm is a good thing i love ladi gaga i think she a realli interest artist,,0.5808595,2023-05-06 13:30:13,Positive
94,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.57170117,2023-05-06 13:29:55,Negative
95,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.57254094,2023-05-06 13:29:43,Negative
96,shannenpil 100true how peopl fall for it and global warm idk,,0.57225835,2023-05-06 13:29:35,Negative
97,senatorortt methan is bad for the environ respons for more than 25 of the global warm we are experienc today due to it structur ch 4 trap more heat in the atmospher per molecul than co2 make it 80 time more harm than co2 for 20 year after it is releas,,0.56866264,2023-05-06 13:28:58,Negative
98,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5696189,2023-05-06 13:28:23,Negative
99,rt tanstaafl6817 if you ever want to infuri and silenc a global warm climat cultist ask them thi so what exactli is ear,,0.5696189,2023-05-06 13:28:23,Negative
100,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5707465,2023-05-06 13:27:52,Negative
101,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5698046,2023-05-06 13:26:28,Negative
102,over time their rhetor ha intensifi global warm gt climat chang climat chang gt climat emerg today a coalit of wealthi amp power peopl repres by one organ are use the climat emerg a a vector to reshap how we live httpstcoabav8vslez,,0.5705403,2023-05-06 13:26:16,Negative
103,rt mordantivor in 2021 india ran out of fuel for cremat due to the million dead from covid over summer the heat wave from global,,0.5753543,2023-05-06 13:26:15,Positive
104,rt elonmusk cernovich global warm risk is overblown in the short term but signific in the long term,,0.5729744,2023-05-06 13:26:12,Negative
105,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5739596,2023-05-06 13:26:08,Positive
106,rt elonmusk cernovich global warm risk is overblown in the short term but signific in the long term,,0.5765261,2023-05-06 13:26:03,Positive
107,coffeelover1882 xrebellionuk i do believ that wa the exact quot i just post to you listen clearli were not go to agre so let call it a day and agre to differ in the meantim get some blackout curtain for your window it go to be a scorch summer global warm and all that jazz,,0.57498115,2023-05-06 13:26:01,Positive
108,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.57066953,2023-05-06 13:25:22,Negative
109,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5757537,2023-05-06 13:25:19,Positive
110,knock knock alberta exceed 15 c global warm could trigger multipl climat tip point scienc httpstcoftizkehrc,,0.5718866,2023-05-06 13:25:16,Negative
111,rickydoggin noaa say global warm is primarili le sever cold not wors heat httpstcoj5cgo7xwl5 the u inflat reduct act spend 369 billion 2200taxpay to reduc it by much le than a 1 mile latitud chang even by gener ipcc assumpt httpstcol2uzvfgqux httpstcobgzur8jnjj,,0.56955516,2023-05-06 13:24:55,Negative
112,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5726156,2023-05-06 13:24:37,Negative
113,elonmusk cernovich if you believ in global warm whi do you keep launch rocket and spacecraft that emit carbon emiss,,0.5677717,2023-05-06 13:24:28,Negative
114,elonmusk cernovich even the brilliant elon musk is fool by global warm but hey he need to sell car doesnt he,,0.56387216,2023-05-06 13:23:56,Negative
115,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.56568587,2023-05-06 13:23:54,Negative
116,dailycal senjohnkennedi it will never work the u will never reduc global warm becaus other countri do not care we need to do a better job clean up the ocean in my opinion,,0.5653301,2023-05-06 13:22:52,Negative
117,rt jessecral through the power of free market through good oldfashion american ingenu we will dramat reduc pollut an,,0.5661571,2023-05-06 13:22:50,Negative
118,whi ha global warm paus william happer httpstcobqyfsyosr1 via youtub,,0.5661571,2023-05-06 13:22:50,Negative
119,xenog are there peopl in your countri who do not believ in global warm i had hope that the denial of it wa mostli a usbas delus,,0.5685714,2023-05-06 13:22:30,Negative
120,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.56787735,2023-05-06 13:22:29,Negative
121,rt ckellyuap melbourn on track for coldest may weekend for 23 year imagin how cold it would realli be without gl,,0.5670048,2023-05-06 13:21:58,Negative
122,gbnew yay thank heaven for global warm,,0.56729555,2023-05-06 13:21:23,Negative
123,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.56630296,2023-05-06 13:20:48,Negative
124,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.57143253,2023-05-06 13:20:36,Negative
125,rt weatherindia the wmo ha increas the probabl for an elniÃ±o global weather pattern to arriv a earli a thi summer here s,,0.5695756,2023-05-06 13:20:27,Negative
126,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.57078487,2023-05-06 13:20:25,Negative
127,rt azdzitowiecki chrismartzwx matthewwielicki 97 myth cook by cook pun intend wa debunk so mani time and immedi after h,,0.56841826,2023-05-06 13:20:23,Negative
128,my twitter ha is that i m just think to myself right now we need global warm i ve said if hillari clinton were run,,0.5736529,2023-05-06 13:20:14,Negative
129,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.57292926,2023-05-06 13:20:09,Negative
130,rt elonmusk cernovich global warm risk is overblown in the short term but signific in the long term,,0.5697858,2023-05-06 13:18:26,Negative
131,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5727162,2023-05-06 13:18:08,Negative
132,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.57893807,2023-05-06 13:18:02,Positive
133,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5708231,2023-05-06 13:17:38,Negative
134,cult of person the brainwash who think scienc is fact and nonpolit with respect to global warm amp covid lack critic analyt think skill and will follow ani govern pie piper like fauci right to their grave fine,,0.5724404,2023-05-06 13:17:34,Negative
135,gbnew wouldnt have expect gbnew to be push the global warm narr,,0.57298493,2023-05-06 13:17:14,Negative
136,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.57311815,2023-05-06 13:17:09,Negative
137,meowreddi global warm season,,0.5651005,2023-05-06 13:16:57,Negative
138,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5655137,2023-05-06 13:16:54,Negative
139,elonmusk cernovich if u want to reduc global warm teh stop use patrol and use electr in all vehicl,,0.57018363,2023-05-06 13:16:53,Negative
140,we cant drive fli or eat meat becaus global warm but they can wage massiv war all over the world and creat a co2 footprint so huge it cant be measur with no worri about climat chang nato move east gear up for war with china httpstco4wrvym71cc,,0.5758307,2023-05-06 13:16:07,Positive
141,rt awakeinkitchenr hellocanada shouldn t these commi be watch it virtual you know becaus global warm,,0.57223874,2023-05-06 13:15:50,Negative
142,rt amus global warm despit leav hi famili behind princ harri decid to take a high perform privat jet 5500 mile to lo,,0.5728317,2023-05-06 13:15:45,Negative
143,rt weatherindia the wmo ha increas the probabl for an elniÃ±o global weather pattern to arriv a earli a thi summer here s,,0.5760324,2023-05-06 13:15:30,Positive
144,global warmingcom to a citi near you revel 867 a third of the earth wa burn up along with a third of the tree and all the green grass revel 1689 the peopl were scorch by intens heat and they cur the name of god,,0.5743886,2023-05-06 13:15:20,Positive
145,rt azdzitowiecki chrismartzwx matthewwielicki 97 myth cook by cook pun intend wa debunk so mani time and immedi after h,,0.57630754,2023-05-06 13:15:18,Positive
146,hellocanada shouldn t these commi be watch it virtual you know becaus global warm,,0.57529783,2023-05-06 13:15:11,Positive
147,rt ckellyuap melbourn on track for coldest may weekend for 23 year imagin how cold it would realli be without gl,,0.5781224,2023-05-06 13:15:04,Positive
148,rt fascinatorfun oh lord guess who s the new director of the global warm polici foundat the ever ignor allison pearson co,,0.5747166,2023-05-06 13:13:55,Positive
149,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.57990116,2023-05-06 13:13:30,Positive
150,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5790084,2023-05-06 13:13:15,Positive
151,yosirbi it a strong messag for all global warm onli happen becaus we give it the attent it want if we ignor it itll get bore and go home,,0.5792806,2023-05-06 13:13:10,Positive
152,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5697562,2023-05-06 13:12:47,Negative
153,wxyzdetroit damn global warm,,0.56923705,2023-05-06 13:12:42,Negative
154,chrismartzwx matthewwielicki 97 myth cook by cook pun intend wa debunk so mani time and immedi after he push it in articl link to paper on thi httpstcok4h58hfufu httpstcopcujxiokzm,,0.56923705,2023-05-06 13:12:42,Negative
155,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5692528,2023-05-06 13:12:36,Negative
156,oh yeah look like old man winter is kick back for 6 month so mother natur can make fool with their global warm httpstcoadigfqbf4,,0.5678349,2023-05-06 13:12:32,Negative
157,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.574332,2023-05-06 13:12:01,Positive
158,rt climatecraz global warm is the answer to your problem dure the african humid period ahp your desert were green due to annu,,0.5725573,2023-05-06 13:11:39,Negative
159,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.56530344,2023-05-06 13:10:48,Negative
160,rt wideawakemedia geologist professor ian plimer no one ha ever shown that human emiss of carbon dioxid drive global warm i,,0.57055604,2023-05-06 13:10:38,Negative
161,whynothink dougofgabriola edgarrmcgregor 97 myth wa debunk long time ago even in the guardian of all thing httpstcok4h58hfufu httpstcoauw3hll2zi,,0.57387155,2023-05-06 13:10:01,Positive
162,poe314pi soon our epa would come out and reassert that the drought is a sign of global warm and joe would write anoth of hi eo requir all cow to have methan collector insert in their ar,,0.57362825,2023-05-06 13:09:57,Negative
163,rt emothik elonmusk cernovich how much and how much is the cost were are assum to avoid it and moreov appli restrict t,,0.5724396,2023-05-06 13:09:56,Negative
164,rt ckellyuap melbourn on track for coldest may weekend for 23 year imagin how cold it would realli be without gl,,0.572376,2023-05-06 13:09:48,Negative
165,21wire global warm ha alreadi been happen thi ha been a few centuri run of the warmest temperatur record for a veri long time it onli get colder from here,,0.58392054,2023-05-06 13:08:30,Positive
166,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.58249944,2023-05-06 13:08:24,Positive
167,if you believ in manmad global warm plea don t procreat,,0.58469176,2023-05-06 13:08:13,Positive
168,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.58469176,2023-05-06 13:08:13,Positive
169,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5857172,2023-05-06 13:08:10,Positive
170,it too bad you promot peopl like frank lase who is a blatant propagandist for climat chang amp global warm denier shame on you thi kind of ignor is caus sever damag to our environ httpstcormgofeidw0,,0.5857172,2023-05-06 13:08:10,Positive
171,rt weatherindia the wmo ha increas the probabl for an elniÃ±o global weather pattern to arriv a earli a thi summer here s,,0.5756948,2023-05-06 13:07:58,Positive
172,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5778198,2023-05-06 13:07:53,Positive
173,rt victorydeclar rfk say the whole global warm system is a scam of the mega bank amp the ultra rich like bill gate he also say the,,0.5802367,2023-05-06 13:07:39,Positive
174,rt drelidavid the best clip youll see on climat chang i am a scientist and i am the founder of weather channel scienc is not abo,,0.5831288,2023-05-06 13:07:12,Positive
175,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.57837605,2023-05-06 13:06:42,Positive
176,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.58298856,2023-05-06 13:06:30,Positive
177,and the same appal weather a the previou two coronationsso much for global warminglol coron,,0.5826138,2023-05-06 13:06:12,Positive
178,weatherwatchuk climat chang or global warm a it been defin ha ad 1 c to global temperatur sinc the end of the littl ice age due to human activ you dont you agre with thi simpl fact httpstco0jiiu55elf,,0.5843794,2023-05-06 13:06:03,Positive
179,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5796351,2023-05-06 13:05:30,Positive
180,rt climatecraz the global warm religion is so success becaus data is not a requir just a deep belief in someth is nece,,0.5752806,2023-05-06 13:05:29,Positive
181,searledj kylenabeck st4ke elonmusk cernovich real scientist disagre with y all global warm is real and we need to stop pretend we are expert in the subject,,0.5797959,2023-05-06 13:05:11,Positive
182,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.57386035,2023-05-06 13:05:05,Positive
183,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5811224,2023-05-06 13:04:49,Positive
184,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.5775853,2023-05-06 13:04:47,Positive
185,kirky861 tmcintyreformla global warm the say well they flick the lighter with the other hand,,0.57935596,2023-05-06 13:04:25,Positive
186,rt ckellyuap melbourn on track for coldest may weekend for 23 year imagin how cold it would realli be without gl,,0.5771986,2023-05-06 13:04:23,Positive
187,can iceberg surg in the arctic trigger rapid warm at the other end of the world httpstco6pwef6zzv4,,0.57613385,2023-05-06 13:04:22,Positive
188,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5839768,2023-05-06 13:04:19,Positive
189,rt kosesha so heartwarm to see a cut edg global product name in tamil à®‰à®² is such a simpl catchi pertin yet regal na,,0.5824897,2023-05-06 13:04:07,Positive
190,rt climatecraz the global warm religion is so success becaus data is not a requir just a deep belief in someth is nece,,0.57885396,2023-05-06 13:03:42,Positive
191,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5794272,2023-05-06 13:03:29,Positive
192,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.58163553,2023-05-06 13:03:20,Positive
193,rt ketanj0 elon musk simultan tri to plea the hard right without lose custom for hi electr car busi is caus him,,0.582721,2023-05-06 13:03:12,Positive
194,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.574255,2023-05-06 13:03:05,Positive
195,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.5834482,2023-05-06 13:03:04,Positive
196,rt gonzalolira1968 he s absolut right climat chang is a scam i learn thi in the work i did in renew energi and it s co,,0.5706461,2023-05-06 13:02:56,Negative
197,rt thechiefnerd sen john kennedi destroy energi secretari david turk s global warm propos you don t know do you mr secretari,,0.5796763,2023-05-06 13:02:38,Positive
198,rt climatecraz the global warm religion is so success becaus data is not a requir just a deep belief in someth is nece,,0.5794464,2023-05-06 13:02:34,Positive
199,more than enough proof of global pollut through use of commerci airplan these idiot think they are save the planet from global warm insan thi is deliber poison of all lifeform geoengin documentari httpstcoeuj3h2udoh,,0.57953495,2023-05-06 13:02:21,Positive
200,rt cernovich global warm is the largest scam in human histori httpstcondxwvbbpmg,,0.58101285,2023-05-06 13:02:12,Positive
201,massiv mussel dieoff on south shore n scrosati thought it wa global warm but cameron hit on the thesi they re go with last februari s polar vortex mayb the polar vortex move further south might have someth to do with climatechang httpstcotvkgc2abck httpstco5opi9rc7da,,0.5706256,2023-05-06 13:02:05,Negative
